form	lemmaId	lemma	linkType	pos	via	note
kenjaley	s'kenjaley.a	s'kenjaley	mutation	a. id.	s'kenjaley	demutation-unvalidated
feer chenjal	feer-chenjal.a	feer chenjal	self	a.	feer chenjal	demutation-unvalidated
feerchenjal	feer-chenjal.a	feer chenjal	self	a.	feer chenjal	collapsed
feerchenjal	feer-chenjal.a	feerchenjal	univerbated	a.	feer chenjal	
neu chenjal	neu-chenjal.a	neu-chenjal	self	a.	neu-chenjal	
neuchenjal	neu-chenjal.a	neu-chenjal	self	a.	neu-chenjal	collapsed
neuchenjal	neu-chenjal.a	neuchenjal	univerbated	a.	neu-chenjal	
kenjallys	kenjallys.n	kenjallys	self	s. m.	kenjallys	
e chenjallys	kenjallys.n	kenjallys	self	s.	e chenjallys	
echenjallys	kenjallys.n	kenjallys	self	s.	e chenjallys	collapsed
echenjallys	kenjallys.n	kenjallys	univerbated	s.	e chenjallys	
chenjallys	kenjallys.n	kenjallys	particle	s.	e chenjallys	
chenjallys	kenjallys.n	kenjallys	demutated	s. m.	e chenjallys	
nyn genjallys	kenjallys.n	kenjallys	self	s.	nyn genjallys	
nyngenjallys	kenjallys.n	kenjallys	self	s.	nyn genjallys	collapsed
nyngenjallys	kenjallys.n	kenjallys	univerbated	s.	nyn genjallys	
genjallys	kenjallys.n	kenjallys	particle	s.	nyn genjallys	
e chenjallys graihagh	kenjallys-graihagh.n	kenjallys-graihagh	self	s.	e chenjallys-graihagh	
echenjallysgraihagh	kenjallys-graihagh.n	kenjallys-graihagh	self	s.	e chenjallys-graihagh	collapsed
echenjallysgraihagh	kenjallys-graihagh.n	kenjallysgraihagh	univerbated	s.	e chenjallys-graihagh	
chenjallys graihagh	kenjallys-graihagh.n	kenjallys-graihagh	particle	s.	e chenjallys-graihagh	
chenjallysgraihagh	kenjallys-graihagh.n	kenjallys-graihagh	particle	s.	e chenjallys-graihagh	collapsed
chenjallysgraihagh	kenjallys-graihagh.n	kenjallysgraihagh	univerbated	s.	e chenjallys-graihagh	
kennip	kennip.n	kennip	self	s. f.	kennip	
kennipyn	kennip.n	kennip	inflected	s. f.	kennip	
yn chenip	chenip.n	chenip	self	s.	yn chenip	demutation-unvalidated
ynchenip	chenip.n	chenip	self	s.	yn chenip	collapsed
ynchenip	chenip.n	chenip	univerbated	s.	yn chenip	
chenip	chenip.n	chenip	particle	s.	yn chenip	demutation-unvalidated
nyn genip	genip.n	genip	self	s.	nyn genip	demutation-unvalidated
nyngenip	genip.n	genip	self	s.	nyn genip	collapsed
nyngenip	genip.n	genip	univerbated	s.	nyn genip	
genip	genip.n	genip	particle	s.	nyn genip	demutation-unvalidated
kennipey	kennipey.a	kennipey	self	a. d.	kennipey	
genipey	genipey.a	genipey	self	a. pl. (sic)	genipey	demutation-unvalidated
keoie	keoie.a	keoie	self	a.	keoie	
s'keoie	s'keoie.a	s'keoie	self	a.	s'keoie	demutation-unvalidated
keoie	s'keoie.a	s'keoie	mutation	a.	s'keoie	demutation-unvalidated
s'keoiey	s'keoiey.a	s'keoiey	self	a. id.	s'keoiey	demutation-unvalidated
keoiey	s'keoiey.a	s'keoiey	mutation	a. id.	s'keoiey	demutation-unvalidated
feer cheoie	feer-cheoie.a	feer cheoie	self	a.	feer cheoie	
feercheoie	feer-cheoie.a	feer cheoie	self	a.	feer cheoie	collapsed
feercheoie	feer-cheoie.a	feercheoie	univerbated	a.	feer cheoie	
eaghcheoy	eaghcheoy.n	eaghcheoy	self	s. f.	eaghcheoy	
keoieid	keoieid.n	keoieid	self	s. m.	keoieid	
e cheoieid	keoieid.n	keoieid	self	s.	e cheoieid	
echeoieid	keoieid.n	keoieid	self	s.	e cheoieid	collapsed
echeoieid	keoieid.n	keoieid	univerbated	s.	e cheoieid	
cheoieid	keoieid.n	keoieid	particle	s.	e cheoieid	
cheoieid	keoieid.n	keoieid	demutated	s. m.	e cheoieid	
nyn geoï id	geoï-id.n	geoï-id	self	s.	nyn geoï-id	demutation-unvalidated
nyngeoïid	geoï-id.n	geoï-id	self	s.	nyn geoï-id	collapsed
nyngeoïid	geoï-id.n	geoïid	univerbated	s.	nyn geoï-id	
geoï id	geoï-id.n	geoï-id	particle	s.	nyn geoï-id	demutation-unvalidated
geoïid	geoï-id.n	geoï-id	particle	s.	nyn geoï-id	collapsed
geoïid	geoï-id.n	geoïid	univerbated	s.	nyn geoï-id	
keagh	keagh.x	keagh	self		keagh	
er keagh	keagh.a	keagh	self	a.	er keagh	
erkeagh	keagh.a	keagh	self	a.	er keagh	collapsed
erkeagh	keagh.a	keagh	univerbated	a.	er keagh	
keagh	keagh.a	keagh	particle	a.	er keagh	
goaill cheagh	goaill-cheagh.v	goaill cheagh	self	v.	goaill cheagh	demutation-unvalidated
goaillcheagh	goaill-cheagh.v	goaill cheagh	self	v.	goaill cheagh	collapsed
goaillcheagh	goaill-cheagh.v	goaillcheagh	univerbated	v.	goaill cheagh	
keoyeeagh	keoyeeagh.a	keoyeeagh	self	a.	keoyeeagh	
feer cheoyagh	feer-cheoyagh.a	feer cheoyagh	self	a.	feer cheoyagh	demutation-unvalidated
